Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
8779-QRDMV,M,78,No,Yes,No,No,0
7495-OOKFY,F,74,No,Yes,Yes,Yes,1
1658-BYGOY,M,71,No,Yes,No,Yes,3
4598-XLKNJ,F,78,No,Yes,Yes,Yes,1
4846-WHAFZ,F,80,No,Yes,Yes,Yes,1
4412-YLTKF,F,72,No,Yes,No,Yes,1
0390-DCFDQ,F,76,No,Yes,Yes,Yes,2
3445-HXXGF,M,66,No,Yes,Yes,No,0
2656-FMOKZ,F,70,No,Yes,No,Yes,2
2070-FNEXE,F,77,No,Yes,No,Yes,2
0094-OIFMO,F,78,No,Yes,No,Yes,1
9947-OTFQU,M,65,No,Yes,No,No,0
9514-JDSKI,M,77,No,Yes,Yes,No,0
7273-TEFQD,M,67,No,Yes,No,No,0
3606-TWKGI,M,68,No,Yes,No,No,0
4385-GZQXV,F,68,No,Yes,No,No,0
3488-PGMQJ,M,66,No,Yes,No,No,0
7534-BFESC,M,69,No,Yes,No,No,0
8098-LLAZX,F,74,No,Yes,No,No,0
0265-EDXBD,M,76,No,Yes,Yes,No,0
2840-XANRC,M,77,No,Yes,Yes,No,0
5020-ZSTTY,F,70,No,Yes,No,No,0
5804-LEPIM,F,74,No,Yes,No,No,0
0623-IIHUG,F,77,No,Yes,No,No,0
9057-MSWCO,M,71,No,Yes,Yes,No,0
4895-TMWIR,M,79,No,Yes,Yes,No,0
0533-BNWKF,F,66,No,Yes,Yes,No,0
0334-GDDSO,M,77,No,Yes,No,No,0
5564-NEMQO,F,80,No,Yes,No,No,0
6235-VDHOM,F,77,No,Yes,No,No,0
5609-CEBID,F,77,No,Yes,No,No,0
5956-VKDTT,F,72,No,Yes,Yes,No,0
0257-ZESQC,F,80,No,Yes,Yes,No,0
2865-TCHJW,F,74,No,Yes,No,No,0
5192-EBGOV,F,68,No,Yes,No,No,0
3419-SNJJD,F,78,No,Yes,Yes,No,0
5099-BAILX,M,77,No,Yes,Yes,No,0
4913-EHYUI,M,80,No,Yes,Yes,No,0
1626-ERCMM,M,75,No,Yes,Yes,No,0
5644-PDMZC,F,69,No,Yes,No,No,0
4160-AMJTL,F,74,No,Yes,No,No,0
0823-HSCDJ,M,76,No,Yes,No,No,0
0067-DKWBL,M,69,No,Yes,No,No,0
5244-IRFIH,M,72,No,Yes,Yes,No,0
2684-EIWEO,F,69,No,Yes,No,No,0
6683-VLCTZ,M,73,No,Yes,No,No,0
0691-IFBQW,F,65,No,Yes,No,No,0
3643-AHCFP,M,74,No,Yes,Yes,No,0
9231-ZJYAM,F,65,No,Yes,No,No,0
0727-BMPLR,F,66,No,Yes,No,No,0
0947-MUGVO,M,71,No,Yes,Yes,No,0
0781-LKXBR,M,65,No,Yes,No,No,0
1907-UBQFC,M,69,No,Yes,No,No,0
6513-EECDB,M,75,No,Yes,Yes,No,0
7074-IEVOJ,F,75,No,Yes,No,No,0
4750-ZRXIU,F,68,No,Yes,No,No,0
7028-DVOIQ,M,71,No,Yes,No,No,0
4208-UFFGW,M,80,No,Yes,No,No,0
9889-TMAHG,M,66,No,Yes,No,No,0
8919-FYFQZ,M,73,No,Yes,Yes,No,0
6646-QVXLR,M,77,No,Yes,Yes,No,0
9369-XFEHK,F,76,No,Yes,Yes,No,0
1374-DMZUI,F,65,No,Yes,No,No,0
1989-PRJHP,M,75,No,Yes,Yes,No,0
4822-RVYBB,M,75,No,Yes,No,No,0
4184-TJFAN,F,68,No,Yes,Yes,No,0
4145-UQXUQ,F,71,No,Yes,No,No,0
1236-WFCDV,M,74,No,Yes,No,No,0
1271-SJBGZ,M,77,No,Yes,No,No,0
4441-NIHPT,F,73,No,Yes,No,No,0
8999-BOHSE,F,68,No,Yes,No,No,0
7029-RPUAV,M,74,No,Yes,Yes,No,0
8111-SLLHI,M,65,No,Yes,Yes,No,0
5293-WXJAK,F,73,No,Yes,Yes,No,0
4086-YQSNZ,F,74,No,Yes,Yes,No,0
8399-YNDCH,M,80,No,Yes,No,No,0
5565-FILXA,F,76,No,Yes,No,No,0
4187-CINZD,F,73,No,Yes,No,No,0
6818-WOBHJ,F,70,No,Yes,Yes,No,0
9134-CEQMF,M,75,No,Yes,Yes,No,0
8519-IMDHU,M,74,No,Yes,Yes,No,0
3372-KWFBM,M,76,No,Yes,No,No,0
7206-GZCDC,F,75,No,Yes,No,No,0
1768-ZAIFU,F,74,No,Yes,No,No,0
3793-MMFUH,F,73,No,Yes,No,No,0
6567-HOOPW,F,69,No,Yes,No,No,0
8621-MNIHH,F,75,No,Yes,Yes,No,0
5419-CONWX,F,65,No,Yes,No,No,0
7024-OHCCK,F,77,No,Yes,No,No,0
5357-TZHPP,M,67,No,Yes,No,No,0
0506-LVNGN,F,78,No,Yes,No,No,0
9809-IMGCQ,M,65,No,Yes,No,No,0
3254-YRILK,M,74,No,Yes,No,No,0
0529-ONKER,M,70,No,Yes,No,No,0
5240-IJOQT,M,69,No,Yes,No,No,0
0661-XEYAN,F,76,No,Yes,No,No,0
2660-EMUBI,M,71,No,Yes,No,No,0
7675-OZCZG,F,76,No,Yes,No,No,0
9391-EOYLI,M,77,No,Yes,Yes,No,0
2761-OCIAX,M,74,No,Yes,No,No,0
3068-OMWZA,M,77,No,Yes,No,No,0
4154-AQUGT,M,76,No,Yes,Yes,No,0
8017-LXHFA,F,77,No,Yes,No,No,0
4248-QPAVC,F,80,No,Yes,Yes,No,0
4690-LLKUA,M,68,No,Yes,No,No,0
9490-DFPMD,F,79,No,Yes,No,No,0
8580-AECUZ,M,65,No,Yes,No,No,0
5047-LHVLY,M,68,No,Yes,No,No,0
7279-BUYWN,F,66,No,Yes,No,No,0
7156-MHUGY,M,68,No,Yes,No,No,0
9606-PBKBQ,M,69,No,Yes,Yes,No,0
3536-IQCTX,M,76,No,Yes,Yes,No,0
3132-TVFDZ,M,70,No,Yes,Yes,No,0
8080-DDEMJ,M,71,No,Yes,No,No,0
6702-OHFWR,M,75,No,Yes,No,No,0
4510-PYUSH,F,67,No,Yes,No,No,0
8840-DQLGN,F,65,No,Yes,Yes,No,0
4193-ORFCL,F,80,No,Yes,No,No,0
7776-QWNFX,M,71,No,Yes,Yes,No,0
6689-TCZHQ,F,70,No,Yes,No,No,0
9497-QCMMS,M,73,No,Yes,No,No,0
3424-NMNBO,M,78,No,Yes,Yes,No,0
4514-GFCFI,F,76,No,Yes,No,No,0
8000-REIQB,F,73,No,Yes,No,No,0
4795-KTRTH,F,68,No,Yes,Yes,No,0
9961-JBNMK,M,79,No,Yes,No,No,0
6179-GJPSO,F,67,No,Yes,No,No,0
8290-YWKHZ,F,69,No,Yes,Yes,No,0
8051-HJRLT,F,72,No,Yes,No,No,0
4021-RQSNY,M,75,No,Yes,Yes,No,0
9061-TIHDA,M,67,No,Yes,Yes,No,0
8699-ASUFO,M,72,No,Yes,Yes,No,0
4695-WJZUE,F,68,No,Yes,No,No,0
3988-RQIXO,F,68,No,Yes,No,No,0
5931-FLJJF,M,75,No,Yes,Yes,No,0
3207-OYBWH,M,74,No,Yes,Yes,No,0
7216-EWTRS,F,78,No,Yes,Yes,No,0
2528-HFYZX,M,66,No,Yes,Yes,No,0
4140-MUHUG,F,73,No,Yes,No,No,0
1587-FKLZB,M,79,No,Yes,Yes,No,0
5440-FLBQG,M,69,No,Yes,Yes,No,0
2774-LVQUS,F,65,No,Yes,Yes,No,0
4612-THJBS,F,68,No,Yes,No,No,0
4094-NSEDU,F,79,No,Yes,No,No,0
1846-XWOQN,F,80,No,Yes,No,No,0
3757-NJYBX,M,77,No,Yes,Yes,No,0
9898-KZQDZ,F,65,No,Yes,Yes,No,0
8263-JQAIK,M,66,No,Yes,No,No,0
2205-YMZZJ,M,75,No,Yes,No,No,0
1254-IZEYF,F,74,No,Yes,No,No,0
9221-OTIVJ,F,80,No,Yes,No,No,0
5908-QMGOE,M,74,No,Yes,No,No,0
0397-GZBBC,M,70,No,Yes,Yes,No,0
7641-EUYET,M,76,No,Yes,Yes,No,0
8922-LIEGH,F,72,No,Yes,No,No,0
8245-UMPYT,F,66,No,Yes,No,No,0
5186-SAMNZ,M,75,No,Yes,No,No,0
5373-SFODM,M,65,No,Yes,Yes,No,0
0022-TCJCI,M,79,No,Yes,No,No,0
5130-IEKQT,M,73,No,Yes,No,No,0
3269-ATYWD,M,79,No,Yes,No,No,0
0354-WYROK,F,70,No,Yes,Yes,No,0
7576-OYWBN,M,71,No,Yes,No,No,0
5539-TMZLF,M,69,No,Yes,No,No,0
3336-JORSO,F,70,No,Yes,No,No,0
6861-XWTWQ,M,71,No,Yes,Yes,No,0
4283-FUTGF,M,67,No,Yes,No,No,0
2397-BRLOM,M,67,No,Yes,Yes,No,0
8510-AWCXC,F,69,No,Yes,No,No,0
8225-BTJAU,M,75,No,Yes,No,No,0
1724-BQUHA,M,67,No,Yes,No,No,0
4826-XTSOH,M,66,No,Yes,Yes,No,0
2408-WITXK,F,67,No,Yes,No,No,0
2634-HCZGT,M,71,No,Yes,Yes,No,0
7503-QQRVF,M,74,No,Yes,Yes,No,0
0709-TVGUR,F,70,No,Yes,No,No,0
3001-CBHLQ,M,76,No,Yes,Yes,No,0
4102-OQUPX,M,67,No,Yes,Yes,No,0
3999-QGRJH,M,80,No,Yes,No,No,0
2454-RPBRZ,F,67,No,Yes,Yes,No,0
2265-CYWIV,F,68,No,Yes,Yes,No,0
4550-VBOFE,M,69,No,Yes,Yes,No,0
7409-KIUTL,F,80,No,Yes,No,No,0
1732-VHUBQ,F,73,No,Yes,Yes,No,0
0679-IDSTG,F,73,No,Yes,Yes,No,0
8802-UNOJF,M,65,No,Yes,No,No,0
6313-GIDIT,M,73,No,Yes,No,No,0
2845-AFFTX,M,78,No,Yes,Yes,No,0
2815-CPTUL,M,68,No,Yes,No,No,0
1891-FZYSA,M,65,No,Yes,Yes,No,0
9685-WKZGT,M,67,No,Yes,No,No,0
6022-UGGSO,F,70,No,Yes,No,No,0
3923-CSIHK,F,69,No,Yes,Yes,No,0
3677-IYRBF,F,73,No,Yes,No,No,0
8118-LSUEL,M,74,No,Yes,No,No,0
5277-ZLOOR,F,78,No,Yes,No,No,0
4248-HCETZ,M,77,No,Yes,Yes,No,0
9174-FKWZE,F,70,No,Yes,No,No,0
5307-DZCVC,F,78,No,Yes,Yes,No,0
8679-JOEVF,F,75,No,Yes,No,No,0
4803-AXVYP,F,75,No,Yes,No,No,0
5649-ANRML,M,76,No,Yes,No,No,0
7395-IGJOS,M,70,No,Yes,Yes,No,0
7890-VYYWG,M,67,No,Yes,Yes,No,0
9907-SWKKF,F,69,No,Yes,No,No,0
6397-JNZZG,F,70,No,Yes,Yes,No,0
7779-LGOVN,M,74,No,Yes,Yes,No,0
9710-ZUSHQ,F,77,No,Yes,No,No,0
3902-FOIGH,M,66,No,Yes,Yes,No,0
3318-OSATS,M,70,No,Yes,No,No,0
2636-ALXXZ,F,68,No,Yes,No,No,0
9885-CSMWE,F,65,No,Yes,No,No,0
8058-JMEQO,F,76,No,Yes,No,No,0
7657-DYEPJ,M,73,No,Yes,No,No,0
8276-MQBYC,M,70,No,Yes,No,No,0
6015-VVHHE,F,68,No,Yes,No,No,0
2516-VQRRV,F,77,No,Yes,No,No,0
7580-UGXNC,F,73,No,Yes,No,No,0
5178-LMXOP,M,71,No,Yes,Yes,No,0
7056-IMHCC,M,69,No,Yes,Yes,No,0
8749-JMNKX,M,80,No,Yes,Yes,No,0
0917-EZOLA,M,66,No,Yes,Yes,No,0
8414-MYSHR,M,79,No,Yes,No,No,0
4988-IQIGL,M,80,No,Yes,No,No,0
4706-AXVKM,F,78,No,Yes,No,No,0
5889-JTMUL,F,67,No,Yes,Yes,No,0
9026-RNUJS,M,73,No,Yes,No,No,0
6210-KBBPI,M,67,No,Yes,No,No,0
2260-USTRB,F,75,No,Yes,No,No,0
8623-TMRBY,M,80,No,Yes,Yes,No,0
6900-PXRMS,M,72,No,Yes,Yes,No,0
3346-BRMIS,F,70,No,Yes,Yes,No,0
2722-JMONI,F,73,No,Yes,Yes,No,0
7579-OOPEC,F,75,No,Yes,Yes,No,0
1771-OADNZ,M,70,No,Yes,Yes,No,0
0612-RTZZA,F,77,No,Yes,No,No,0
4433-JCGCG,M,80,No,Yes,Yes,No,0
9488-HGMJH,F,78,No,Yes,No,No,0
4818-QIUFN,F,69,No,Yes,No,No,0
6961-VCPMC,M,71,No,Yes,Yes,No,0
4424-TKOPW,M,70,No,Yes,No,No,0
4201-JMNGR,F,66,No,Yes,No,No,0
1866-RZZQS,M,77,No,Yes,No,No,0
8631-NBHFZ,M,71,No,Yes,Yes,No,0
4958-XCBDQ,M,68,No,Yes,No,No,0
8337-UPOAQ,M,71,No,Yes,Yes,No,0
6712-OAWRH,F,79,No,Yes,No,No,0
5914-DVBWJ,F,80,No,Yes,No,No,0
8644-XLFBW,M,65,No,Yes,No,No,0
1833-VGRUM,F,70,No,Yes,No,No,0
8374-XGEJJ,M,68,No,Yes,Yes,No,0
6946-LMSQS,M,80,No,Yes,Yes,No,0
4039-HEUNW,M,77,No,Yes,Yes,No,0
0812-WUPTB,M,65,No,Yes,Yes,No,0
2403-BCASL,M,66,No,Yes,Yes,No,0
3871-IKPYH,M,70,No,Yes,No,No,0
1304-NECVQ,F,69,No,Yes,No,No,0
5655-JSMZM,M,66,No,Yes,No,No,0
4505-EXZHB,F,75,No,Yes,No,No,0
8972-HJWNV,F,75,No,Yes,Yes,No,0
2860-RANUS,F,67,No,Yes,No,No,0
0406-BPDVR,F,75,No,Yes,Yes,No,0
5276-KQWHG,F,74,No,Yes,No,No,0
9667-EQRXU,F,74,No,Yes,No,No,0
0946-CLJTI,M,67,No,Yes,Yes,No,0
0324-BRPCJ,F,74,No,Yes,Yes,No,0
9189-JWSHV,F,69,No,Yes,Yes,No,0
0576-WNXXC,M,70,No,Yes,Yes,No,0
5482-PLVPE,F,79,No,Yes,No,No,0
4902-OHLSK,F,76,No,Yes,No,No,0
0495-ZBNGW,M,78,No,Yes,Yes,No,0
2357-COQEK,F,79,No,Yes,No,No,0
2034-CGRHZ,M,73,No,Yes,No,No,0
9360-AHGNL,F,74,No,Yes,Yes,No,0
5485-WUYWF,M,73,No,Yes,No,No,0
2632-UCGVD,M,71,No,Yes,Yes,No,0
6425-YQLLO,F,68,No,Yes,Yes,No,0
2091-RFFBA,F,70,No,Yes,No,No,0
6899-PPEEA,F,66,No,Yes,No,No,0
