Customer ID,Quarter,Customer Status,Churn Label,Churn Value,Churn Category,Churn Reason
8779-QRDMV,Q3,Churned,Yes,1,Competitor,Competitor offered more data
7495-OOKFY,Q3,Churned,Yes,1,Competitor,Competitor made better offer
1658-BYGOY,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4598-XLKNJ,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
4846-WHAFZ,Q3,Churned,Yes,1,Price,Extra data charges
4412-YLTKF,Q3,Churned,Yes,1,Competitor,Competitor had better devices
0390-DCFDQ,Q3,Churned,Yes,1,Other,Don't know
3445-HXXGF,Q3,Churned,Yes,1,Dissatisfaction,Service dissatisfaction
2656-FMOKZ,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
2070-FNEXE,Q3,Churned,Yes,1,Price,Lack of affordable download/upload speed
0094-OIFMO,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
9947-OTFQU,Q3,Churned,Yes,1,Competitor,Competitor had better devices
9514-JDSKI,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
7273-TEFQD,Q3,Churned,Yes,1,Price,Long distance charges
3606-TWKGI,Q3,Churned,Yes,1,Competitor,Competitor had better devices
4385-GZQXV,Q3,Churned,Yes,1,Competitor,Competitor had better devices
3488-PGMQJ,Q3,Churned,Yes,1,Dissatisfaction,Poor expertise of online support
7534-BFESC,Q3,Churned,Yes,1,Competitor,Competitor made better offer
8098-LLAZX,Q3,Churned,Yes,1,Competitor,Competitor made better offer
0265-EDXBD,Q3,Churned,Yes,1,Attitude,Attitude of support person
2840-XANRC,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5020-ZSTTY,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5804-LEPIM,Q3,Churned,Yes,1,Other,Don't know
0623-IIHUG,Q3,Churned,Yes,1,Competitor,Competitor made better offer
9057-MSWCO,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4895-TMWIR,Q3,Churned,Yes,1,Competitor,Competitor made better offer
0533-BNWKF,Q3,Churned,Yes,1,Competitor,Competitor made better offer
0334-GDDSO,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5564-NEMQO,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
6235-VDHOM,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
5609-CEBID,Q3,Churned,Yes,1,Competitor,Competitor had better devices
